Data;10799 - Distribuição de desocupados segundo o tempo de procura de emprego - Mais de 1 ano - %
10/2001;25,8
11/2001;25,6
12/2001;29,2
01/2002;27,3
02/2002;28,2
03/2002;26,9
04/2002;27,8
05/2002;26,9
06/2002;25,9
07/2002;28,4
08/2002;28,4
09/2002;29,4
10/2002;31,2
11/2002;31,0
12/2002;30,9
01/2003;23,4
02/2003;21,1
03/2003;21,4
04/2003;21,6
05/2003;22,3
06/2003;22,3
07/2003;22,7
08/2003;23,4
09/2003;24,9
10/2003;24,8
11/2003;25,2
12/2003;26,8
01/2004;25,1
02/2004;25,2
03/2004;24,4
04/2004;27,2
05/2004;27,3
06/2004;26,7
07/2004;26,4
08/2004;25,4
09/2004;26,0
10/2004;27,1
11/2004;27,0
12/2004;26,4
01/2005;25,9
02/2005;25,2
03/2005;22,9
04/2005;24,4
05/2005;25,0
06/2005;25,1
07/2005;24,1
08/2005;25,0
09/2005;23,3
10/2005;23,8
11/2005;24,4
12/2005;26,2
01/2006;25,1
02/2006;24,9
03/2006;26,0
04/2006;24,8
05/2006;25,1
06/2006;22,0
07/2006;19,6
08/2006;20,6
09/2006;20,6
10/2006;20,0
11/2006;20,9
12/2006;22,3
01/2007;21,3
02/2007;20,0
03/2007;20,3
04/2007;20,1
05/2007;20,3
06/2007;20,2
07/2007;19,9
08/2007;21,0
09/2007;20,4
10/2007;20,2
11/2007;23,4
12/2007;22,4
01/2008;21,9
02/2008;21,2
03/2008;20,8
04/2008;21,0
05/2008;20,3
06/2008;19,5
07/2008;18,7
08/2008;17,3
09/2008;16,1
10/2008;16,9
11/2008;16,9
12/2008;17,0
01/2009;13,7
02/2009;13,8
03/2009;14,5
04/2009;15,5
05/2009;14,9
06/2009;14,6
07/2009;14,2
08/2009;15,1
09/2009;15,8
10/2009;17,2
11/2009;18,8
12/2009;19,6
01/2010;18,9
02/2010;18,7
03/2010;18,6
04/2010;17,3
05/2010;16,9
06/2010;16,4
07/2010;17,6
08/2010;18,3
09/2010;16,4
10/2010;16,1
11/2010;17,3
12/2010;19,1
01/2011;16,0
02/2011;17,6
03/2011;15,4
04/2011;14,4
05/2011;15,4
06/2011;16,4
07/2011;16,0
08/2011;14,7
09/2011;14,9
10/2011;15,6
11/2011;15,4
12/2011;17,7
01/2012;15,7
02/2012;13,6
03/2012;14,4
04/2012;12,8
05/2012;14,7
06/2012;13,9
07/2012;15,2
08/2012;14,7
09/2012;15,3
10/2012;14,0
11/2012;13,9
12/2012;14,8
01/2013;13,0
02/2013;12,6
03/2013;13,5
04/2013;12,6
05/2013;14,3
06/2013;13,9
07/2013;14,7
08/2013;14,7
09/2013;15,5
10/2013;15,2
11/2013;15,6
12/2013;15,3
01/2014;14,7
02/2014;16,6
03/2014;16,7
04/2014;17,2
05/2014;17,5
06/2014;16,7
07/2014;16,7
08/2014;17,6
09/2014;19,0
10/2014;18,4
11/2014;16,9
12/2014;17,3
01/2015;16,6
02/2015;15,9
03/2015;15,8
04/2015;17,4
05/2015;17,7
06/2015;19,0
07/2015;20,1
08/2015;19,6
09/2015;21,6
10/2015;20,7
11/2015;19,5
12/2015;22,9
01/2016;21,1
02/2016;20,9
Fonte;IBGE
