,Data,10799 - Distribuição de desocupados segundo o tempo de procura de emprego - Mais de 1 ano - %
0,10/2001,0.6914285714285714
1,11/2001,0.68
2,12/2001,0.8857142857142856
3,01/2002,0.7771428571428572
4,02/2002,0.8285714285714286
5,03/2002,0.7542857142857141
6,04/2002,0.8057142857142857
7,05/2002,0.7542857142857141
8,06/2002,0.6971428571428572
9,07/2002,0.84
10,08/2002,0.84
11,09/2002,0.8971428571428571
12,10/2002,0.9999999999999999
13,11/2002,0.9885714285714285
14,12/2002,0.9828571428571428
15,01/2003,0.5542857142857142
16,02/2003,0.42285714285714293
17,03/2003,0.43999999999999984
18,04/2003,0.4514285714285716
19,05/2003,0.49142857142857144
20,06/2003,0.49142857142857144
21,07/2003,0.5142857142857143
22,08/2003,0.5542857142857142
23,09/2003,0.64
24,10/2003,0.6342857142857142
25,11/2003,0.6571428571428571
26,12/2003,0.7485714285714286
27,01/2004,0.6514285714285716
28,02/2004,0.6571428571428571
29,03/2004,0.6114285714285713
30,04/2004,0.7714285714285715
31,05/2004,0.7771428571428572
32,06/2004,0.7428571428571428
33,07/2004,0.7257142857142856
34,08/2004,0.6685714285714285
35,09/2004,0.702857142857143
36,10/2004,0.7657142857142859
37,11/2004,0.7599999999999999
38,12/2004,0.7257142857142856
39,01/2005,0.6971428571428572
40,02/2005,0.6571428571428571
41,03/2005,0.5257142857142857
42,04/2005,0.6114285714285713
43,05/2005,0.6457142857142858
44,06/2005,0.6514285714285716
45,07/2005,0.5942857142857144
46,08/2005,0.6457142857142858
47,09/2005,0.5485714285714286
48,10/2005,0.5771428571428573
49,11/2005,0.6114285714285713
50,12/2005,0.7142857142857143
51,01/2006,0.6514285714285716
52,02/2006,0.64
53,03/2006,0.702857142857143
54,04/2006,0.6342857142857142
55,05/2006,0.6514285714285716
56,06/2006,0.4742857142857143
57,07/2006,0.3371428571428573
58,08/2006,0.39428571428571446
59,09/2006,0.39428571428571446
60,10/2006,0.36
61,11/2006,0.41142857142857137
62,12/2006,0.49142857142857144
63,01/2007,0.4342857142857143
64,02/2007,0.36
65,03/2007,0.3771428571428571
66,04/2007,0.36571428571428577
67,05/2007,0.3771428571428571
68,06/2007,0.37142857142857133
69,07/2007,0.3542857142857142
70,08/2007,0.41714285714285715
71,09/2007,0.3828571428571429
72,10/2007,0.37142857142857133
73,11/2007,0.5542857142857142
74,12/2007,0.497142857142857
75,01/2008,0.4685714285714285
76,02/2008,0.4285714285714285
77,03/2008,0.4057142857142858
78,04/2008,0.41714285714285715
79,05/2008,0.3771428571428571
80,06/2008,0.3314285714285715
81,07/2008,0.2857142857142857
82,08/2008,0.20571428571428574
83,09/2008,0.13714285714285723
84,10/2008,0.18285714285714283
85,11/2008,0.18285714285714283
86,12/2008,0.1885714285714286
87,01/2009,0.0
88,02/2009,0.005714285714285783
89,03/2009,0.04571428571428571
90,04/2009,0.10285714285714287
